Team Name,Year,Wins,Losses,OT Losses,Win %,Goal For (GF),Goal Against (GA),+ / -
Colorado Avalanche,1997,39,26,,-28,231,205,26
Dallas Stars,1997,49,22,,35,242,167,75
Detroit Red Wings,1997,44,23,,86,250,196,54
Edmonton Oilers,1997,35,37,,18,215,224,-9
Florida Panthers,1997,24,43,,68,203,256,-53
Los Angeles Kings,1997,38,33,,-196,227,225,2
Montreal Canadiens,1997,37,32,,-20,235,208,27
New Jersey Devils,1997,48,23,,14,225,166,59
New York Islanders,1997,30,41,,-15,212,225,-13
New York Rangers,1997,25,39,,-13,197,231,-34
Ottawa Senators,1997,34,33,,-13,193,200,-7
Philadelphia Flyers,1997,42,29,,-27,242,193,49
Phoenix Coyotes,1997,35,35,,37,224,227,-3
Pittsburgh Penguins,1997,40,24,,3,228,188,40
San Jose Sharks,1997,34,38,,14,210,216,-6
St. Louis Blues,1997,45,29,,-99,256,204,52
Tampa Bay Lightning,1997,17,55,,-39,151,269,-118
Toronto Maple Leafs,1997,30,43,,23,194,237,-43
Vancouver Canucks,1997,25,43,,11,224,273,-49
Washington Capitals,1997,40,30,,28,219,202,17
Mighty Ducks of Anaheim,1998,35,34,,41,215,206,9
Boston Bruins,1998,39,30,,1,214,181,33
Buffalo Sabres,1998,37,28,,63,207,175,32
Calgary Flames,1998,30,40,,-23,211,234,-23
Carolina Hurricanes,1998,34,30,,8,210,202,8
Chicago Blackhawks,1998,29,41,,-46,202,248,-46
Colorado Avalanche,1998,44,28,,34,239,205,34
Dallas Stars,1998,51,19,,68,236,168,68
Detroit Red Wings,1998,43,32,,43,245,202,43
Edmonton Oilers,1998,33,37,,4,230,226,4
Florida Panthers,1998,30,34,,-18,210,228,-18
Los Angeles Kings,1998,32,45,,-33,189,222,-33
Montreal Canadiens,1998,32,39,,-25,184,209,-25
Nashville Predators,1998,28,47,,-71,190,261,-71
New Jersey Devils,1998,47,24,,52,248,196,52
New York Islanders,1998,24,48,,-50,194,244,-50
New York Rangers,1998,33,38,,-10,217,227,-10
Ottawa Senators,1998,44,23,,60,239,179,60
Philadelphia Flyers,1998,37,26,,35,231,196,35
Phoenix Coyotes,1998,39,31,,8,205,197,8
Pittsburgh Penguins,1998,38,30,,17,242,225,17
San Jose Sharks,1998,31,33,,5,196,191,5
St. Louis Blues,1998,37,32,,28,237,209,28
Tampa Bay Lightning,1998,19,54,,-113,179,292,-113
Toronto Maple Leafs,1998,45,30,,37,268,231,37
Vancouver Canucks,1998,23,47,,-66,192,258,-66
Washington Capitals,1998,31,45,,-18,200,218,-18
Mighty Ducks of Anaheim,1999,34,33,3,-10,217,227,-10
Atlanta Thrashers,1999,14,57,4,-143,170,313,-143
Boston Bruins,1999,24,33,6,-38,210,248,-38
Buffalo Sabres,1999,35,32,4,9,213,204,9
Calgary Flames,1999,31,36,5,-45,211,256,-45
Carolina Hurricanes,1999,37,35,0,1,217,216,1
Chicago Blackhawks,1999,33,37,2,-3,242,245,-3
Colorado Avalanche,1999,42,28,1,32,233,201,32
Dallas Stars,1999,43,23,6,27,211,184,27
Detroit Red Wings,1999,48,22,2,68,278,210,68
Edmonton Oilers,1999,32,26,8,14,226,212,14
Florida Panthers,1999,43,27,6,35,244,209,35
Los Angeles Kings,1999,39,27,4,17,245,228,17
Montreal Canadiens,1999,35,34,4,2,196,194,2
Nashville Predators,1999,28,40,7,-41,199,240,-41
New Jersey Devils,1999,45,24,5,48,251,203,48
New York Islanders,1999,24,48,1,-81,194,275,-81
New York Rangers,1999,29,38,3,-28,218,246,-28
Ottawa Senators,1999,41,28,2,34,244,210,34
Philadelphia Flyers,1999,45,22,3,58,237,179,58
Phoenix Coyotes,1999,39,31,4,4,232,228,4
Pittsburgh Penguins,1999,37,31,6,5,241,236,5
San Jose Sharks,1999,35,30,7,11,225,214,11
St. Louis Blues,1999,51,19,1,83,248,165,83
Tampa Bay Lightning,1999,19,47,7,-106,204,310,-106
Toronto Maple Leafs,1999,45,27,3,24,246,222,24
Vancouver Canucks,1999,30,29,8,-10,227,237,-10
Washington Capitals,1999,44,24,2,33,227,194,33
Mighty Ducks of Anaheim,2000,25,41,5,-57,188,245,-57
Atlanta Thrashers,2000,23,45,2,-78,211,289,-78
Boston Bruins,2000,36,30,8,-22,227,249,-22
Buffalo Sabres,2000,46,30,1,34,218,184,34
Calgary Flames,2000,27,36,4,-39,197,236,-39
Carolina Hurricanes,2000,38,32,3,-13,212,225,-13
Columbus Blue Jackets,2000,28,39,6,-43,190,233,-43
Chicago Blackhawks,2000,29,40,5,-36,210,246,-36
Colorado Avalanche,2000,52,16,4,78,270,192,78
Dallas Stars,2000,48,24,2,54,241,187,54
Detroit Red Wings,2000,49,20,4,51,253,202,51
Edmonton Oilers,2000,39,28,3,21,243,222,21
Florida Panthers,2000,22,38,9,-46,200,246,-46
Los Angeles Kings,2000,38,28,3,24,252,228,24
Minnesota Wild,2000,25,39,5,-42,168,210,-42
Montreal Canadiens,2000,28,40,6,-26,206,232,-26
Nashville Predators,2000,34,36,3,-14,186,200,-14
New Jersey Devils,2000,48,19,3,100,295,195,100
New York Islanders,2000,21,51,3,-83,185,268,-83
New York Rangers,2000,33,43,1,-40,250,290,-40
Ottawa Senators,2000,48,21,4,69,274,205,69
Philadelphia Flyers,2000,43,25,3,33,240,207,33
Phoenix Coyotes,2000,35,27,3,2,214,212,2
Pittsburgh Penguins,2000,42,28,3,25,281,256,25
San Jose Sharks,2000,40,27,3,25,217,192,25
St. Louis Blues,2000,43,22,5,54,249,195,54
Tampa Bay Lightning,2000,24,47,5,-79,201,280,-79
Toronto Maple Leafs,2000,37,29,5,25,232,207,25
Vancouver Canucks,2000,36,28,7,1,239,238,1
Washington Capitals,2000,41,27,4,22,233,211,22
Mighty Ducks of Anaheim,2001,29,42,3,-23,175,198,-23
Atlanta Thrashers,2001,19,47,5,-101,187,288,-101
Boston Bruins,2001,43,24,9,35,236,201,35
Buffalo Sabres,2001,35,35,1,13,213,200,13
Calgary Flames,2001,32,35,3,-19,201,220,-19
Carolina Hurricanes,2001,35,26,5,0,217,217,0
Columbus Blue Jackets,2001,22,47,5,-91,164,255,-91
Chicago Blackhawks,2001,41,27,1,9,216,207,9
Colorado Avalanche,2001,45,28,1,43,212,169,43
Dallas Stars,2001,36,28,5,2,215,213,2
Detroit Red Wings,2001,51,17,4,64,251,187,64
Edmonton Oilers,2001,38,28,4,23,205,182,23
Florida Panthers,2001,22,44,6,-70,180,250,-70
Los Angeles Kings,2001,40,27,4,24,214,190,24
Minnesota Wild,2001,26,35,9,-43,195,238,-43
Montreal Canadiens,2001,36,31,3,-2,207,209,-2
Nashville Predators,2001,28,41,0,-34,196,230,-34
New Jersey Devils,2001,41,28,4,18,205,187,18
New York Islanders,2001,42,28,4,19,239,220,19
New York Rangers,2001,36,38,4,-31,227,258,-31
Ottawa Senators,2001,39,27,7,35,243,208,35
Philadelphia Flyers,2001,42,27,3,42,234,192,42
Phoenix Coyotes,2001,40,27,6,18,228,210,18
Pittsburgh Penguins,2001,28,41,5,-51,198,249,-51
San Jose Sharks,2001,44,27,3,49,248,199,49
St. Louis Blues,2001,43,27,4,39,227,188,39
Tampa Bay Lightning,2001,27,40,4,-41,178,219,-41
Toronto Maple Leafs,2001,43,25,4,42,249,207,42
Vancouver Canucks,2001,42,30,3,43,254,211,43
Washington Capitals,2001,36,33,2,-12,228,240,-12
Mighty Ducks of Anaheim,2002,40,27,6,10,203,193,10
Atlanta Thrashers,2002,31,39,5,-58,226,284,-58
Boston Bruins,2002,36,31,4,8,245,237,8
Buffalo Sabres,2002,27,37,8,-29,190,219,-29
Calgary Flames,2002,29,36,4,-42,186,228,-42
Carolina Hurricanes,2002,22,43,6,-69,171,240,-69
Columbus Blue Jackets,2002,29,42,3,-50,213,263,-50
Chicago Blackhawks,2002,30,33,6,-19,207,226,-19
Colorado Avalanche,2002,42,19,8,57,251,194,57
Dallas Stars,2002,46,17,4,76,245,169,76
Detroit Red Wings,2002,48,20,4,66,269,203,66
Edmonton Oilers,2002,36,26,9,1,231,230,1
Florida Panthers,2002,24,36,9,-61,176,237,-61
Los Angeles Kings,2002,33,37,6,-18,203,221,-18
Minnesota Wild,2002,42,29,1,20,198,178,20
Montreal Canadiens,2002,30,35,9,-28,206,234,-28
Nashville Predators,2002,27,35,7,-23,183,206,-23
New Jersey Devils,2002,46,20,6,50,216,166,50
New York Islanders,2002,35,34,2,-7,224,231,-7
New York Rangers,2002,32,36,4,-21,210,231,-21
Ottawa Senators,2002,52,21,1,81,263,182,81
Philadelphia Flyers,2002,45,20,4,45,211,166,45
Phoenix Coyotes,2002,31,35,5,-26,204,230,-26
Pittsburgh Penguins,2002,27,44,5,-66,189,255,-66
San Jose Sharks,2002,28,37,8,-25,214,239,-25
St. Louis Blues,2002,41,24,6,31,253,222,31
Tampa Bay Lightning,2002,36,25,5,9,219,210,9
Toronto Maple Leafs,2002,44,28,3,28,236,208,28
Vancouver Canucks,2002,45,23,1,56,264,208,56
Washington Capitals,2002,39,29,6,4,224,220,4
Mighty Ducks of Anaheim,2003,29,35,8,-29,184,213,-29
Atlanta Thrashers,2003,33,37,4,-29,214,243,-29
Boston Bruins,2003,41,19,7,21,209,188,21
Buffalo Sabres,2003,37,34,4,-1,220,221,-1
Calgary Flames,2003,42,30,3,24,200,176,24
Carolina Hurricanes,2003,28,34,6,-37,172,209,-37
Columbus Blue Jackets,2003,25,45,4,-61,177,238,-61
Chicago Blackhawks,2003,20,43,8,-71,188,259,-71
Colorado Avalanche,2003,40,22,7,38,236,198,38
Dallas Stars,2003,41,26,2,19,194,175,19
Detroit Red Wings,2003,48,21,2,66,255,189,66
Edmonton Oilers,2003,36,29,5,13,221,208,13
Florida Panthers,2003,28,35,4,-33,188,221,-33
Los Angeles Kings,2003,28,29,9,-12,205,217,-12
Minnesota Wild,2003,30,29,3,5,188,183,5
Montreal Canadiens,2003,41,30,4,16,208,192,16
Nashville Predators,2003,38,29,4,-1,216,217,-1
New Jersey Devils,2003,43,25,2,49,213,164,49
New York Islanders,2003,38,29,4,27,237,210,27
New York Rangers,2003,27,40,8,-44,206,250,-44
Ottawa Senators,2003,43,23,6,73,262,189,73
Philadelphia Flyers,2003,40,21,6,43,229,186,43
Phoenix Coyotes,2003,22,36,6,-57,188,245,-57
Pittsburgh Penguins,2003,23,47,4,-113,190,303,-113
San Jose Sharks,2003,43,21,6,36,219,183,36
St. Louis Blues,2003,39,30,2,-7,191,198,-7
Tampa Bay Lightning,2003,46,22,6,53,245,192,53
Toronto Maple Leafs,2003,45,24,3,38,242,204,38
Vancouver Canucks,2003,43,24,5,41,235,194,41
Washington Capitals,2003,23,46,3,-67,186,253,-67
Mighty Ducks of Anaheim,2005,43,27,12,25,254,229,25
Atlanta Thrashers,2005,41,33,8,6,281,275,6
Boston Bruins,2005,29,37,16,-36,230,266,-36
Buffalo Sabres,2005,52,24,6,42,281,239,42
Calgary Flames,2005,46,25,11,18,218,200,18
Carolina Hurricanes,2005,52,22,8,34,294,260,34
Columbus Blue Jackets,2005,35,43,4,-56,223,279,-56
Chicago Blackhawks,2005,26,43,13,-74,211,285,-74
Colorado Avalanche,2005,43,30,9,26,283,257,26
Dallas Stars,2005,53,23,6,47,265,218,47
Detroit Red Wings,2005,58,16,8,96,305,209,96
Edmonton Oilers,2005,41,28,13,5,256,251,5
Florida Panthers,2005,37,34,11,-17,240,257,-17
Los Angeles Kings,2005,42,35,5,-21,249,270,-21
Minnesota Wild,2005,38,36,8,16,231,215,16
Montreal Canadiens,2005,42,31,9,-4,243,247,-4
Nashville Predators,2005,49,25,8,32,259,227,32
New Jersey Devils,2005,46,27,9,13,242,229,13
New York Islanders,2005,36,40,6,-48,230,278,-48
New York Rangers,2005,44,26,12,42,257,215,42
Ottawa Senators,2005,52,21,9,103,314,211,103
Philadelphia Flyers,2005,45,26,11,8,267,259,8
Phoenix Coyotes,2005,38,39,5,-25,246,271,-25
Pittsburgh Penguins,2005,22,46,14,-72,244,316,-72
San Jose Sharks,2005,44,27,11,24,266,242,24
St. Louis Blues,2005,21,46,15,-95,197,292,-95
Tampa Bay Lightning,2005,43,33,6,-8,252,260,-8
Toronto Maple Leafs,2005,41,33,8,-13,257,270,-13
Vancouver Canucks,2005,42,32,8,1,256,255,1
Washington Capitals,2005,29,41,12,-69,237,306,-69
Anaheim Ducks,2006,48,20,14,50,258,208,50
Atlanta Thrashers,2006,43,28,11,1,246,245,1
Boston Bruins,2006,35,41,6,-70,219,289,-70
Buffalo Sabres,2006,53,22,7,66,308,242,66
Calgary Flames,2006,43,29,10,32,258,226,32
Carolina Hurricanes,2006,40,34,8,-12,241,253,-12
Columbus Blue Jackets,2006,33,42,7,-48,201,249,-48
Chicago Blackhawks,2006,31,42,9,-57,201,258,-57
Colorado Avalanche,2006,44,31,7,21,272,251,21
Dallas Stars,2006,50,25,7,29,226,197,29
Detroit Red Wings,2006,50,19,13,55,254,199,55
Edmonton Oilers,2006,32,43,7,-53,195,248,-53
Florida Panthers,2006,35,31,16,-10,247,257,-10
Los Angeles Kings,2006,27,41,14,-56,227,283,-56
Minnesota Wild,2006,48,26,8,44,235,191,44
Montreal Canadiens,2006,42,34,6,-11,245,256,-11
Nashville Predators,2006,51,23,8,60,272,212,60
New Jersey Devils,2006,49,24,9,15,216,201,15
New York Islanders,2006,40,30,12,8,248,240,8
New York Rangers,2006,42,30,10,26,242,216,26
Ottawa Senators,2006,48,25,9,66,288,222,66
Philadelphia Flyers,2006,22,48,12,-89,214,303,-89
Phoenix Coyotes,2006,31,46,5,-68,216,284,-68
Pittsburgh Penguins,2006,47,24,11,31,277,246,31
San Jose Sharks,2006,51,26,5,59,258,199,59
St. Louis Blues,2006,34,35,13,-40,214,254,-40
Tampa Bay Lightning,2006,44,33,5,-8,253,261,-8
Toronto Maple Leafs,2006,40,31,11,-11,258,269,-11
Vancouver Canucks,2006,49,26,7,21,222,201,21
Washington Capitals,2006,28,40,14,-51,235,286,-51
Anaheim Ducks,2007,47,27,8,14,205,191,14
Atlanta Thrashers,2007,34,40,8,-56,216,272,-56
Boston Bruins,2007,41,29,12,-10,212,222,-10
Buffalo Sabres,2007,39,31,12,13,255,242,13
Calgary Flames,2007,42,30,10,2,229,227,2
Carolina Hurricanes,2007,43,33,6,3,252,249,3
Columbus Blue Jackets,2007,34,36,12,-25,193,218,-25
Chicago Blackhawks,2007,40,34,8,4,239,235,4
Colorado Avalanche,2007,44,31,7,12,231,219,12
Dallas Stars,2007,45,30,7,35,242,207,35
Detroit Red Wings,2007,54,21,7,73,257,184,73
Edmonton Oilers,2007,41,35,6,-16,235,251,-16
Florida Panthers,2007,38,35,9,-10,216,226,-10
Los Angeles Kings,2007,32,43,7,-35,231,266,-35
Minnesota Wild,2007,44,28,10,5,223,218,5
Montreal Canadiens,2007,47,25,10,40,262,222,40
Nashville Predators,2007,41,32,9,1,230,229,1
New Jersey Devils,2007,46,29,7,9,206,197,9
New York Islanders,2007,35,38,9,-49,194,243,-49
New York Rangers,2007,42,27,13,14,213,199,14
Ottawa Senators,2007,43,31,8,14,261,247,14
Philadelphia Flyers,2007,42,29,11,15,248,233,15
Phoenix Coyotes,2007,38,37,7,-17,214,231,-17
Pittsburgh Penguins,2007,47,27,8,31,247,216,31
San Jose Sharks,2007,49,23,10,29,222,193,29
St. Louis Blues,2007,33,36,13,-32,205,237,-32
Tampa Bay Lightning,2007,31,42,9,-44,223,267,-44
Toronto Maple Leafs,2007,36,35,11,-29,231,260,-29
Vancouver Canucks,2007,39,33,10,-2,213,215,-2
Washington Capitals,2007,43,31,8,11,242,231,11
Anaheim Ducks,2008,42,33,7,7,245,238,7
Atlanta Thrashers,2008,35,41,6,-23,257,280,-23
Boston Bruins,2008,53,19,10,78,274,196,78
Buffalo Sabres,2008,41,32,9,16,250,234,16
Calgary Flames,2008,46,30,6,6,254,248,6
Carolina Hurricanes,2008,45,30,7,13,239,226,13
Columbus Blue Jackets,2008,41,31,10,-4,226,230,-4
Chicago Blackhawks,2008,46,24,12,48,264,216,48
Colorado Avalanche,2008,32,45,5,-58,199,257,-58
Dallas Stars,2008,36,35,11,-27,230,257,-27
Detroit Red Wings,2008,51,21,10,51,295,244,51
Edmonton Oilers,2008,38,35,9,-14,234,248,-14
Florida Panthers,2008,41,30,11,3,234,231,3
Los Angeles Kings,2008,34,37,11,-27,207,234,-27
Minnesota Wild,2008,40,33,9,19,219,200,19
Montreal Canadiens,2008,41,30,11,2,249,247,2
Nashville Predators,2008,40,34,8,-20,213,233,-20
New Jersey Devils,2008,51,27,4,35,244,209,35
New York Islanders,2008,26,47,9,-78,201,279,-78
New York Rangers,2008,43,30,9,-8,210,218,-8
Ottawa Senators,2008,36,35,11,-20,217,237,-20
Philadelphia Flyers,2008,44,27,11,26,264,238,26
Phoenix Coyotes,2008,36,39,7,-44,208,252,-44
Pittsburgh Penguins,2008,45,28,9,25,264,239,25
San Jose Sharks,2008,53,18,11,53,257,204,53
St. Louis Blues,2008,41,31,10,0,233,233,0
Tampa Bay Lightning,2008,24,40,18,-69,210,279,-69
Toronto Maple Leafs,2008,34,35,13,-43,250,293,-43
Vancouver Canucks,2008,45,27,10,26,246,220,26
Washington Capitals,2008,50,24,8,27,272,245,27
Anaheim Ducks,2009,39,32,11,-13,238,251,-13
Atlanta Thrashers,2009,35,34,13,-22,234,256,-22
Boston Bruins,2009,39,30,13,6,206,200,6
Buffalo Sabres,2009,45,27,10,28,235,207,28
Calgary Flames,2009,40,32,10,-6,204,210,-6
Carolina Hurricanes,2009,35,37,10,-26,230,256,-26
Columbus Blue Jackets,2009,32,35,15,-43,216,259,-43
Chicago Blackhawks,2009,52,22,8,62,271,209,62
Colorado Avalanche,2009,43,30,9,11,244,233,11
Dallas Stars,2009,37,31,14,-17,237,254,-17
Detroit Red Wings,2009,44,24,14,13,229,216,13
Edmonton Oilers,2009,27,47,8,-70,214,284,-70
Florida Panthers,2009,32,37,13,-36,208,244,-36
Los Angeles Kings,2009,46,27,9,22,241,219,22
Minnesota Wild,2009,38,36,8,-27,219,246,-27
Montreal Canadiens,2009,39,33,10,-6,217,223,-6
Nashville Predators,2009,47,29,6,0,225,225,0
New Jersey Devils,2009,48,27,7,31,222,191,31
New York Islanders,2009,34,37,11,-42,222,264,-42
